Line 700: p=0, b=1, s=0
Line 701: p=0, b=1, s=0
Line 702: p=0, b=1, s=0
Line 703: p=0, b=2, s=0
Line 704: p=0, b=2, s=0
Line 705: p=0, b=2, s=0
Line 706: p=0, b=2, s=0
Line 707: p=0, b=2, s=0
Line 708: p=0, b=2, s=0
Line 709: p=0, b=1, s=0
Line 710: p=0, b=1, s=0
Line 711: p=0, b=2, s=0
Line 712: p=0, b=2, s=0
Line 713: p=0, b=2, s=0
Line 714: p=0, b=2, s=0
Line 715: p=0, b=2, s=0
Line 716: p=0, b=1, s=0
Line 717: p=0, b=1, s=0
Line 718: p=0, b=1, s=0
Line 719: p=0, b=1, s=0
Line 720: p=0, b=1, s=0
Line 721: p=0, b=1, s=0
Line 722: p=0, b=1, s=0
Line 723: p=0, b=2, s=0
Line 724: p=0, b=2, s=0
Line 725: p=0, b=2, s=0
Line 726: p=0, b=1, s=0
Line 727: p=0, b=1, s=0
Line 728: p=0, b=1, s=0
Line 729: p=0, b=1, s=0
Line 730: p=0, b=1, s=0
Line 731: p=0, b=1, s=0
Line 732: p=0, b=1, s=0
Line 733: p=0, b=1, s=0
Line 734: p=0, b=1, s=0
Line 735: p=0, b=1, s=0
Line 736: p=0, b=1, s=0
Line 737: p=1, b=2, s=0
Line 738: p=1, b=2, s=0
Line 739: p=1, b=2, s=0
Line 740: p=1, b=2, s=0
Line 741: p=1, b=2, s=0
Line 742: p=0, b=1, s=0
Line 743: p=0, b=1, s=0
Line 744: p=0, b=1, s=0
Line 745: p=0, b=1, s=0
Line 746: p=1, b=2, s=0
Line 747: p=1, b=2, s=0
Line 748: p=1, b=2, s=0
Line 749: p=1, b=2, s=0
Line 750: p=1, b=2, s=0
Line 751: p=1, b=2, s=0
Line 752: p=1, b=2, s=0
Line 753: p=1, b=2, s=0
Line 754: p=1, b=2, s=0
Line 755: p=1, b=2, s=0
Line 756: p=0, b=1, s=0
Line 757: p=0, b=1, s=0
Line 758: p=0, b=1, s=0
Line 759: p=0, b=1, s=0
Line 760: p=0, b=1, s=0
Line 761: p=0, b=1, s=0
Line 762: p=0, b=1, s=0
Line 763: p=0, b=0, s=0
Line 764: p=0, b=0, s=0
Line 765: p=0, b=0, s=0
Line 766: p=0, b=0, s=0
Line 767: p=0, b=0, s=0
Line 768: p=0, b=0, s=0
Line 769: p=0, b=0, s=0
Line 770: p=0, b=1, s=0
Line 771: p=0, b=1, s=0
Line 772: p=0, b=0, s=0
Line 773: p=0, b=0, s=0
Line 774: p=0, b=1, s=0
Line 775: p=0, b=1, s=0
Line 776: p=0, b=1, s=0
Line 777: p=0, b=1, s=0
Line 778: p=0, b=2, s=0
Line 779: p=0, b=2, s=0
Line 780: p=0, b=2, s=0
Line 781: p=0, b=2, s=0
Line 782: p=0, b=1, s=0
Line 783: p=0, b=1, s=0
Line 784: p=0, b=1, s=0
Line 785: p=0, b=1, s=0
Line 786: p=0, b=1, s=0
Line 787: p=0, b=1, s=0
Line 788: p=0, b=1, s=0
Line 789: p=1, b=1, s=1
Line 790: p=1, b=1, s=1
Line 791: p=1, b=1, s=1
Line 792: p=1, b=1, s=1
Line 793: p=0, b=1, s=0
Line 794: p=1, b=2, s=0
Line 795: p=1, b=2, s=0
Line 796: p=1, b=2, s=0
Line 797: p=1, b=2, s=0
Line 798: p=1, b=2, s=0
Line 799: p=1, b=2, s=0
Line 800: p=1, b=2, s=0
Line 801: p=1, b=2, s=0
Line 802: p=1, b=2, s=0
Line 803: p=1, b=3, s=0
Line 804: p=1, b=3, s=0
Line 805: p=1, b=3, s=0
